id,from,to,transcription,details,llang,tlang
06ecfecb-764d-4e83-8781-c7fe159d0b2a,我,я,wǒ,"",zh,ru
f1365243-431e-4f5d-8d1c-09bc37f4476d,我,мой,wǒ,"о близком человеке",zh,ru
1a86e469-f569-4d74-b3a1-acbb2e578c3f,我,мне,wǒ,"",zh,ru
64ec8fbc-5de9-45e2-9d43-cbd1ed4fbfa3,我的,мой,wǒde,"",zh,ru
795f47ed-52b3-4cd8-903c-22cdca33f86a,知道,знать,"zhīdào, zhīdao","что-либо",zh,ru
f0d99529-539e-4818-8634-251b2c2e8812,知道,обладать информацией,"zhīdào, zhīdao","",zh,ru
d3d52834-9bfe-47db-9fcf-911f2db643c6,认识,знать,rènshi,"кого-либо",zh,ru
256204dd-d490-45e4-8235-be98d7ee8d4e,认识,быть знакомым,rènshi,"",zh,ru
e90b85a1-a432-42c9-906f-8f2e05271fb6,认识,знакомиться,rènshi,"",zh,ru
3e83f41b-fa3b-4eef-8029-d56fc98b4662,的,"",de,"частица притяжательности",zh,ru
